Date,Close,High,Low,Open,Volume,Stock
2025-05-01,212.39430236816406,213.62891164873253,207.99346964638974,208.1726964341785,57365700,AAPL
2025-05-02,204.45889282226562,206.0917754590827,201.2827333487594,205.19567188008233,101010600,AAPL
2025-05-05,198.02691650390625,203.21431440062256,197.34987465543003,202.21865389928206,69018500,AAPL
2025-05-06,197.6485595703125,199.77927242381972,196.16503515467957,197.3498735756035,51216500,AAPL
2025-05-07,195.39837646484375,198.574535944944,192.41139491378883,198.30570335142838,68536700,AAPL
2025-05-08,196.63299560546875,199.18188402861682,193.83517686729027,196.86199326420865,50478900,AAPL
2025-05-09,197.66847229003906,199.6697443694255,196.6827629534363,198.1364339272832,36453900,AAPL
2025-05-12,210.15048217773438,210.62903686932515,206.12274573806786,210.32994399020487,63775800,AAPL
2025-05-13,212.28399658203125,212.75257189298435,208.36592688565332,209.79158118866218,51909300,AAPL
2025-05-14,211.6858367919922,213.29095299553776,209.94114592781207,211.78552428530423,49325800,AAPL
2025-05-15,210.80850219726562,212.31393091132972,208.90429308394448,210.31001909194578,45029500,AAPL
2025-05-16,210.6190643310547,211.92510277199543,209.1335944967917,211.71573318604425,54737900,AAPL
2025-05-19,208.14659118652344,208.84446444770495,203.64029993754312,207.27923550566183,46140500,AAPL
2025-05-20,206.232421875,207.83753801206538,204.40797196423648,207.03996203611737,42496600,AAPL
2025-05-21,201.47689819335938,206.4118779017609,200.10109516487896,204.54755595275296,59211800,AAPL
2025-05-22,200.7490997314453,202.1348820380274,199.09413231135568,200.1010778345708,46742400,AAPL
2025-05-23,194.67758178710938,197.10020219746903,192.8730755135501,193.0824298832746,78432900,AAPL
2025-05-27,199.60260009765625,200.1309909415137,196.83102019804124,197.6983910952664,56288500,AAPL
2025-05-28,199.8119659423828,202.11495545301858,199.29353925378823,199.98144837254895,45339700,AAPL
2025-05-29,199.3433837890625,203.19167383577107,197.90775006205254,202.9623758748587,51396800,AAPL
2025-05-30,200.24066162109375,201.3472946799051,196.18300200128658,198.7651407343476,70819900,AAPL
2025-06-02,201.08807373046875,201.51677709467234,199.51286535414474,199.67238359256916,35423300,AAPL
2025-06-03,202.6533203125,203.1518034040851,200.35033086337637,200.73914706631285,46381600,AAPL
2025-06-04,202.2046661376953,205.6142882803356,201.4868493484558,202.2943894332265,43604000,AAPL
2025-06-05,200.0213165283203,204.12881205428334,199.54276184010462,202.8826044104843,55126100,AAPL
2025-06-06,203.30133056640625,205.07592905349443,201.4370087789868,202.3841235560851,46607700,AAPL
2025-06-09,200.8388214111328,205.3750202901374,199.41316716451473,203.76990423179717,72862600,AAPL
2025-06-10,202.0551300048828,203.73004106569937,199.96151019448254,199.99141796230995,54672600,AAPL
2025-06-11,198.1769256591797,203.8795731269679,197.80805305990708,202.88260699920767,60989900,AAPL
2025-06-12,198.5956573486328,199.07419684911244,196.7612432530472,198.47602627663701,43904600,AAPL
2025-06-13,195.85400390625,199.76210952406473,195.1062792678608,199.12405177447246,51447300,AAPL
2025-06-16,197.81802368164062,198.08720880439395,195.96366601516638,196.701426450214,43020700,AAPL
2025-06-17,195.04644775390625,197.78810453675544,194.61775963167673,196.6017124403596,38856200,AAPL
2025-06-18,195.98361206054688,196.97061404804722,194.47819861622497,195.34555431850023,45394700,AAPL
2025-06-20,200.39019775390625,201.08807102199273,196.2627584683704,197.63857663438114,96813500,AAPL
2025-06-23,200.888671875,201.686247808318,198.3563846401482,201.01828233775666,55814300,AAPL
2025-06-24,199.69232177734375,202.8227948624406,199.59261907789957,201.97536755465325,54064000,AAPL
2025-06-25,200.948486328125,203.052085424857,200.01133575244882,200.83881944772682,39525700,AAPL
2025-06-26,200.39019775390625,202.025221644493,198.85487656411598,200.81888589983927,50799100,AAPL
2025-06-27,200.469970703125,202.6034778198992,199.39324535272064,201.27751091280393,73188600,AAPL
2025-06-30,204.54754638671875,206.7608124915243,198.6554726965608,201.39712965217615,91912800,AAPL
2025-07-01,207.18951416015625,209.55231908550664,205.51460310500556,206.04299395149746,78788900,AAPL
2025-07-02,211.7954864501953,212.69274987948137,207.5085290616707,208.2761972389462,67941800,AAPL
2025-07-03,212.90211486816406,213.99876845669687,211.16738836812712,211.50635319299207,34955800,AAPL
2025-07-07,209.3130340576172,215.57398008038285,208.16652910348648,212.03474730839852,50229000,AAPL
2025-07-08,209.37286376953125,210.78855393169587,207.8175989494771,209.46260228799343,42848900,AAPL
2025-07-09,210.4994354248047,210.6888614301138,206.59132988433592,208.8943192909964,48749400,AAPL
2025-07-10,211.76559448242188,212.8323404073814,209.39281005517992,209.87134957233482,44443600,AAPL
2025-07-11,210.5193634033203,211.48642172848318,209.22330444266433,209.93115706069412,39765800,AAPL
2025-07-14,207.98707580566406,210.27013683517245,206.91035052542594,209.29309904361602,38840100,AAPL
2025-07-15,208.47560119628906,211.2471659954246,208.2861751856472,208.5852680860029,42296300,AAPL
2025-07-16,209.52239990234375,211.75559423754484,208.00700716596054,209.6619745482938,47490500,AAPL
2025-07-17,209.38282775878906,211.15742622671814,208.95412441878605,209.93116216460888,48068100,AAPL
